travelCode,userCode_x_x,name_x,place,days,hotel_perday,hotel_total,date_x,from,to,flightType,flight_cost,time,distance,agency,company,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus,Total_car_price,no_of_guest,guest_name,total_passenger
42,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/16/2020,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Daniel Smith'],2
43,0,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['David Burgess', 'Scott Flores', 'Jeremy Anderson']",4
45,0,Hotel BD,Natal (RN),1,242.88,242.88,08/06/2020,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,4You,male,21,Owensland,Ruizfort,Sedan,Enterprise,3.0,223.64,412.0,Full-to-Full,Pending,689.6,1,['Brandon Vargas'],2
51,0,Hotel K,Salvador (BH),1,263.41,263.41,09/17/2020,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Charles Anderson', 'Daniel Neal', 'Amy Howard']",4
53,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Tina Ruiz', 'Erik Jones', 'Jeremy Douglas', 'Bobby Bennett']",5
54,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/08/2020,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
55,0,Hotel A,Florianopolis (SC),2,313.02,626.04,10/15/2020,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Tanner Collins', 'Joshua Robinson', 'Sonya Schneider']",4
57,0,Hotel Z,Aracaju (SE),4,208.04,832.16,10/29/2020,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Brian Chavez'],2
60,0,Hotel Z,Aracaju (SE),4,208.04,832.16,11/19/2020,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Cheryl Fernandez', 'Brenda Gonzales', 'Jared Coffey', 'Scott Francis']",5
65,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Scott Patterson', 'David Holt', 'Theresa Morales']",4
73,0,Hotel BP,Brasilia (DF),4,247.62,990.48,02/18/2021,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
81,0,Hotel BD,Natal (RN),4,242.88,971.52,04/15/2021,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
86,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/20/2021,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['John Henry', 'Linda Lawrence']",3
87,0,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Matthew Andrews', 'Tanya Smith']",3
90,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/03/2019,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,4You,male,37,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['James Tucker'],2
92,1,Hotel BP,Brasilia (DF),1,247.62,247.62,10/17/2019,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,4You,male,37,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Jenna Clark', 'Andrea Hughes', 'Mark Oconnor']",4
100,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/31/2019,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Alan Baldwin', 'Lawrence Jackson', 'Emma Mitchell']",4
101,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/07/2019,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Mark Hill', 'Kristin Harmon']",3
105,2,Hotel Z,Aracaju (SE),4,208.04,832.16,12/05/2019,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Donald Brown', 'Jessica Hill', 'Lauren Bullock']",4
108,2,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Samuel Lester', 'Brent Gilbert', 'Joshua Hansen']",4
109,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/02/2020,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
110,2,Hotel K,Salvador (BH),1,263.41,263.41,01/09/2020,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Kevin Potter', 'Michelle Ford']",3
112,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Michelle Schwartz', 'Joseph Maynard', 'Jason Hester', 'James Park']",5
116,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/20/2020,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Stephanie Hernandez', 'Alexis Greene']",3
117,2,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,4You,female,48,Edwardview,Katiefort,Sedan,Hertz,1.0,52.37,433.0,Partial,Confirmed,466.4,4,"['Kara Bell', 'Melvin Bentley', 'Michelle Gomez', 'Bryce Donaldson']",5
119,2,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,4You,female,48,Moranborough,Lake Stephanie,Hatchback,Budget,3.0,289.76,421.0,Full-to-Full,Confirmed,636.8,0,[],1
122,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/02/2020,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Albert Martinez'],2
124,2,Hotel Z,Aracaju (SE),3,208.04,624.12,04/16/2020,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Brittany Miller', 'William Obrien', 'Tyler Valenzuela']",4
125,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/23/2020,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['David Hawkins', 'Amy Carey', 'Stephen Russell']",4
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Edward Sanders'],2
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Kim Choi'],2
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,4You,female,48,Port Kathrynstad,East Ronnieberg,Sedan,Enterprise,5.0,585.54,100.0,Prepaid,Cancelled,680.0,0,[],1
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Christopher Garcia'],2
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Melanie Lawrence', 'Nicole Weiss', 'Virginia Juarez', 'Marcia Fleming']",5
165,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Joshua Gibson'],2
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Stephanie Church', 'Melissa Vang', 'Michael Melendez']",4
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Lisa White', 'Krystal Johnson', 'Brittney Frey']",4
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Shawn Mercer', 'Caleb Boyd PhD', 'Cynthia Kirk']",4
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Jimmy Walters', 'Shannon Edwards', 'Thomas Richardson']",4
189,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Joseph Williams', 'Melissa Thomas', 'Nancy White', 'Robert Stevens']",5
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Cody Kidd', 'Brooke Johnson']",3
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Andrea Schroeder', 'Nicholas Green', 'Jon Bolton']",4
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Patricia Howard'],2
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Maria Wilcox', 'Christopher Donovan', 'Kristen Mcbride']",4
213,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Kellie Cruz'],2
214,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Michael Gilbert'],2
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Ethan Davis', 'Mr. Christopher Bell', 'Justin Olson']",4
221,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Philip Price', 'Richard Morse', 'Jeff Tran', 'Amanda Davis']",5
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Jeffrey Davidson'],2
225,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,4You,female,48,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Jennifer Schwartz'],2
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['William Bullock', 'April Ramos', 'Curtis Smith']",4
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Keith Romero'],2
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Christian Wagner'],2
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/26/2019,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Adrian Young', 'Jerry Nguyen', 'Angela Peterson']",4
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48,01/02/2020,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Jessica Owens', 'Kelsey Green', 'Joshua Keller']",4
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02,01/09/2020,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,01/23/2020,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,1.55,597.61,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Tanya Schultz', 'Jeffrey Carter MD', 'Daniel Leonard', 'Christina Porter']",5
244,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/30/2020,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Peter Watkins', 'Rachel Allen', 'Nicholas Hess', 'William Glenn']",5
246,3,Hotel AU,Recife (PE),2,312.83,625.66,02/13/2020,Brasilia (DF),Recife (PE),economic,432.1,0.63,242.21,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Bryan Powell'],2
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/27/2020,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Kelly Andrews', 'Beth Navarro', 'Brandon Best', 'Cameron Larson']",5
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02,04/16/2020,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,4You,female,23,East Jenniferhaven,South Meghan,SUV,Sixt,4.0,221.28,249.0,Partial,Cancelled,759.2,1,['Amy Jones'],2
259,3,Hotel BD,Natal (RN),2,242.88,485.76,05/14/2020,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/11/2020,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Allison Snyder', 'Cheryl Boyd', 'Matthew Le']",4
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/23/2020,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Christopher Young', 'Tiffany Richardson', 'Bruce Thompson']",4
275,3,Hotel BD,Natal (RN),2,242.88,485.76,09/03/2020,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Justin Sharp', 'Susan Short', 'Taylor Garcia']",4
279,3,Hotel BD,Natal (RN),1,242.88,242.88,10/01/2020,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Adam Wilson', 'Julie Montoya', 'Timothy Wyatt', 'Michele Farmer']",5
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020,Recife (PE),Sao Paulo (SP),premium,670.13,1.26,486.52,Rainbow,4You,female,23,Martinezberg,New Josephfort,Hatchback,Enterprise,3.0,292.44,309.0,Partial,Pending,547.2,0,[],1
287,3,Hotel AU,Recife (PE),1,312.83,312.83,11/26/2020,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Catherine Carter', 'Donald Hughes', 'Sandra Adams', 'Brian Kline']",5
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/17/2020,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Andrew Castillo', 'Victor Ward', 'Brian Austin', 'Kenneth Macdonald']",5
291,3,Hotel K,Salvador (BH),1,263.41,263.41,12/24/2020,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
295,3,Hotel BD,Natal (RN),4,242.88,971.52,01/21/2021,Recife (PE),Natal (RN),firstClass,669.83,0.58,222.67,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
296,3,Hotel AU,Recife (PE),3,312.83,938.49,01/28/2021,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/18/2021,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
300,3,Hotel K,Salvador (BH),3,263.41,790.23,02/25/2021,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Joshua Richardson', 'Danielle Watson', 'Nicholas Khan']",4
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,03/18/2021,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Connie Christensen', 'Olivia Alvarez']",3
305,3,Hotel BD,Natal (RN),4,242.88,971.52,04/01/2021,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,4You,female,23,Brandistad,Lake Alexander,SUV,Enterprise,1.0,169.99,146.0,Full-to-Full,Cancelled,256.8,2,"['Jacqueline Gardner', 'Frank Murphy']",3
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06,04/08/2021,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,0,[],1
307,3,Hotel BD,Natal (RN),2,242.88,485.76,04/15/2021,Aracaju (SE),Natal (RN),premium,535.95,0.46,176.33,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Stephanie Horn', 'Jessica Adams']",3
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/13/2021,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,4You,female,23,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Elizabeth Bryant', 'Gloria Sullivan']",3
