business_partner_id,company_name,contact_person,email,phone_number,partnership_type
BP00106,Rosales and Sons,Michael Hammond,kyle74@butler-williams.com,8453425888,Airline
BP00107,"Mendez, Taylor and Nelson",Aaron Gonzalez,jameshale@yahoo.com,915-674-3382,Hotel Chain
BP00108,Montgomery-Guerra,Nicole Carr,johnsonronald@perez.com,139-061-7196x0231,Car Rental
BP00109,Lara and Sons,John Griffin,yoderwilliam@lawson.org,(968)681-6803x44593,Airline
BP00110,Thomas PLC,Margaret Hill,clarkjohn@anderson-fitzpatrick.org,+1-397-870-1854x768,Airline
BP00111,Warren and Sons,David Cruz,taylorsamantha@huynh-carter.com,703.132.5144x47229,Hotel Chain
BP00112,"Marshall, Rodriguez and Stephens",John Jackson,harmonrobert@rose-durham.com,+1-175-814-4108x4356,Airline
BP00113,Gregory-Gomez,Jennifer Watkins,matthewconley@cochran.com,001-862-752-1831,Car Rental
BP00114,Black-Thomas,Melanie Barry,fdelgado@gmail.com,001-783-128-9288x476,Airline
BP00115,Wells PLC,Vanessa Jones,kimberlyayala@gmail.com,001-139-340-9417,Hotel Chain
BP00116,Conner-Wang,Renee Simon,michaelbautista@harris-martinez.com,335.505.8845x0139,Hotel Chain
BP00117,"Garrett, Morgan and Rubio",Trevor Cochran,qbrown@gmail.com,084.188.7462x4974,Car Rental
BP00118,"Vasquez, Ruiz and Silva",Kimberly Martin,reginacarson@hotmail.com,+1-006-869-2195x0854,Car Rental
BP00119,"Riddle, King and Williams",Nathan Mason,ericalee@yahoo.com,(776)363-2879,Car Rental
BP00120,Downs Ltd,James Smith,bryantdana@rivera-mcdaniel.com,932-626-8072x2499,Hotel Chain
BP00121,"Lopez, Cole and Morris",Ryan Carter,maddenrachel@gmail.com,1291798722,Car Rental
BP00122,"Montgomery, Elliott and Davis",Nancy Mills,whawkins@alexander.net,(021)958-4028,Hotel Chain
BP00123,Faulkner-Miller,Robin Miller,xhopkins@hotmail.com,904-552-3273,Airline
BP00124,"Salas, Cook and Ortiz",Ronald Ramsey,dwagner@gmail.com,+1-123-824-4753x86004,Hotel Chain
BP00125,Ross-Davis,Stephen Murphy,toddrogers@smith.com,001-341-822-6637x859,Car Rental
BP00126,Conley-Charles,David Edwards,meganmiddleton@hotmail.com,+1-780-258-6416,Airline
BP00127,Jackson-Townsend,Lisa King,krystaltaylor@hotmail.com,+1-211-446-5447,Airline
BP00128,"Baker, Ibarra and White",Johnny Peterson,ljohnson@dean.net,001-811-831-4792x4992,Hotel Chain
BP00129,Gentry-Brown,Valerie Mckenzie,slarson@gmail.com,001-187-602-6133x44062,Airline
BP00130,Adams and Sons,Wayne Torres,lrose@perez.com,637-759-1714,Airline
BP00131,"Duarte, Goodman and Hill",Sandra Golden,kellyjack@smith.biz,879.747.7728x3033,Hotel Chain
BP00132,Owens Ltd,Eric Rubio,hendrixjohn@curtis-jones.com,(998)989-3445,Car Rental
BP00133,Rodriguez PLC,Joshua Wolf,virginiastafford@gross-robinson.net,190-863-5721x1770,Airline
BP00134,Leblanc LLC,Alexander Boyer,sherijohnson@wang.com,001-898-989-2245x21962,Airline
BP00135,"Choi, Hammond and Stevens",Scott Hogan,markmoore@hotmail.com,726.099.6508x601,Hotel Chain
BP00136,"Shields, Webb and Schneider",Bryan Clark,rcervantes@hayes-lee.net,(033)148-1660,Airline
BP00137,Patel-Jackson,Donna Middleton,brownrichard@davis.biz,(602)467-9909x26177,Hotel Chain
BP00138,Rush LLC,Lance Wilson,johnwilliams@yahoo.com,212-994-0128x06895,Car Rental
BP00139,Rocha-French,Shawn Clayton,sean83@martin.com,5828365451,Car Rental
BP00140,"Green, Newton and Osborne",Jennifer Christian,ihudson@yahoo.com,877-616-3095x7630,Car Rental
BP00141,Lowe Ltd,Chad Carter,jonesjonathan@harris.net,2604092307,Hotel Chain
BP00142,Harris Group,Jessica Harris,justin98@hotmail.com,001-507-800-1453x78102,Car Rental
BP00143,Ross Group,Jessica Chen,mcgeerichard@yahoo.com,088-993-9241x26995,Hotel Chain
BP00144,Richards-Mack,Joseph Bailey,jesse93@lewis.com,(574)718-3525,Hotel Chain
BP00145,"Bell, Mayo and Clark",Colleen Key,crystal75@hotmail.com,959.512.3408,Airline
BP00146,Collins-Powell,Bobby Reyes,christinahansen@yahoo.com,001-587-979-9284x120,Airline
BP00147,"Stanton, Hudson and Jones",Sandra Ross,smithamanda@castillo.info,556-822-8475,Airline
BP00148,"Ray, Kelley and Hickman",Brian Davis,kbrown@gilbert.com,(420)823-1617x650,Airline
BP00149,"Hernandez, Johnston and Guzman",Scott Ross,sarahtaylor@hotmail.com,237-156-9172x1127,Car Rental
BP00150,King-Bradley,Wendy Mason,kevindyer@hotmail.com,876-979-6041x73782,Car Rental
BP00151,Barron PLC,Shannon Cook,stephanieharrington@moss.com,001-607-054-7330,Airline
BP00152,Brown and Sons,Timothy Wright,gordonmiranda@allison.com,502-595-3214,Airline
BP00153,"Lowery, Frost and Campbell",Crystal Ortiz,gsheppard@west.net,001-765-854-1565x9711,Car Rental
BP00154,Johnson-Martinez,Linda Garcia,davidbrown@martin.info,3217766007,Car Rental
BP00155,"Harris, Hayes and White",Miguel Cole,jared19@contreras.com,750.520.0663,Hotel Chain
BP00156,"Burns, Chung and Hardy",Christopher Adams,rrasmussen@hotmail.com,001-778-010-5916x991,Airline
BP00157,"Heath, Lopez and Henderson",Adam Becker,adamdixon@yahoo.com,(016)698-2751,Airline
BP00158,Zimmerman-Harding,Amanda Lawson,edwardsmatthew@hotmail.com,058-397-1855,Airline
BP00159,Walker Inc,James Cole,sarah76@hotmail.com,935-382-9942,Car Rental
BP00160,Thomas-Sullivan,Robert Cohen,michaelarnold@gmail.com,(157)087-8109x329,Hotel Chain
BP00161,"Leonard, Bradford and Doyle",Jennifer Friedman,bensoncatherine@yahoo.com,156.698.3887x3746,Airline
BP00162,"Campbell, Holt and Sullivan",Isaac Lynch,ctorres@yahoo.com,+1-719-827-9982x45392,Airline
BP00163,Vang Ltd,Lauren Perez,michaelbailey@swanson-parker.com,5234044783,Airline
BP00164,Davis Ltd,Ashley Foster,bfuentes@gmail.com,001-082-704-1894,Hotel Chain
BP00165,Clark PLC,Stephen Lynch,whitney53@carlson.com,001-407-030-6776x7847,Car Rental
BP00166,King and Sons,Tonya Torres,kempmichelle@harvey.com,(973)268-7621x15466,Car Rental
BP00167,"Lang, Buckley and Adams",Lauren Khan,michaelsoto@bush-rubio.com,(893)514-2982,Airline
BP00168,"Vazquez, Small and Jones",Dr. Christopher Macias,william46@gmail.com,051-193-6295,Car Rental
BP00169,"Warner, Ramirez and Melendez",Luke Daniel,scott74@gmail.com,596-089-3945x7347,Hotel Chain
BP00170,Griffin-Lewis,Matthew Landry,ywhite@carrillo.com,001-489-964-0288,Car Rental
BP00171,"Caldwell, Everett and Sanchez",Rebecca Brown,ronald01@ramirez.biz,2067220793,Hotel Chain
BP00172,Hurley LLC,Chloe Webster,lnorris@gmail.com,(219)297-2463x7152,Airline
BP00173,Dillon-Martinez,Bradley Dickson,collinsfrank@merritt.com,001-715-662-9038x1463,Car Rental
BP00174,Johnson Inc,Tiffany Smith,whiteashley@sanchez.com,008.942.6496,Hotel Chain
BP00175,Good and Sons,Matthew Phelps,xvaldez@haynes-mooney.net,+1-160-775-0392x50531,Hotel Chain
BP00176,"Murphy, Osborne and Cooley",Kimberly Ward,destinymartinez@yahoo.com,+1-992-506-8039x630,Car Rental
BP00177,"Day, Baker and Black",Kimberly Wilson,gregory58@whitehead-lester.org,641-299-1332x278,Airline
BP00178,Price PLC,John Anthony,elizabethellis@bradley-ward.com,001-590-642-8544x923,Car Rental
BP00179,Lopez Inc,Brooke Pratt,onealkristen@brown.com,001-493-370-2632x28403,Hotel Chain
BP00180,"Pratt, Thompson and Robbins",Cynthia Garcia,escobarcourtney@blair.com,810.882.2110x46323,Airline
BP00181,Collins-Combs,Carolyn Holmes,wgardner@thompson.com,(882)536-5891x4552,Airline
BP00182,Beck LLC,Sara Caldwell,zgarcia@gmail.com,001-804-198-3311x90420,Airline
BP00183,Burton PLC,Kendra Bass,dvelazquez@thomas.org,956.737.6748x5442,Hotel Chain
BP00184,Black-Bentley,Hannah Evans,hbutler@gmail.com,746-193-2292x3116,Car Rental
BP00185,Meyer PLC,Nathan Roman,marissagonzales@lopez.com,2957632482,Car Rental
BP00186,Vargas LLC,Becky Campbell,alexgoodman@perez-hernandez.com,721-844-6413x27325,Airline
BP00187,"Barnes, Powers and Roberts",Natasha Harris,ojones@hotmail.com,192.710.6807x791,Car Rental
BP00188,Ross PLC,James Martinez,timothybass@gmail.com,694-412-3321x805,Car Rental
BP00189,Weaver Group,Ronald Moore,yellis@hotmail.com,+1-125-313-9356x7575,Hotel Chain
BP00190,"Olson, Valdez and Nguyen",William Harris,kevinstewart@willis.biz,(198)983-9037x642,Airline
BP00191,Mccoy-Yang,Carrie Steele,greenmichele@owen.com,655-064-6037x980,Airline
BP00192,Chavez-Johnson,Melissa Perez,klewis@todd.com,(728)209-7381x4830,Car Rental
BP00193,"Prince, Lee and Edwards",Alan Morris,maddenjeff@hotmail.com,+1-129-876-0320,Car Rental
BP00194,"Waters, Harper and Adkins",Jessica Andrews,charlene01@kennedy.com,(551)126-0770x914,Car Rental
BP00195,"Sanchez, Phelps and Johnson",Sarah Stewart,michael00@parker-willis.com,495-296-6386,Hotel Chain
BP00196,Cox-Porter,George Green,sandra43@perez-doyle.com,330.454.9770x52329,Airline
BP00197,Church-White,Kenneth Bridges,stephensonfrank@abbott.info,001-953-051-8831x5986,Car Rental
BP00198,Ball and Sons,Matthew Brown,gnewman@hopkins.com,(233)385-9522x840,Car Rental
BP00199,Bass PLC,Daniel Ellis MD,jgardner@gmail.com,001-623-198-1663x92345,Airline
BP00200,"Cruz, Hall and Burch",Kenneth Robles,tylerherrera@gmail.com,948.309.7012,Car Rental
BP00201,Chen-Moore,Joel Pollard,jill55@ortiz.org,039.357.6889x86479,Hotel Chain
BP00202,Steele Group,Nathan Hunt,cbates@hotmail.com,(113)981-2618,Airline
BP00203,Jennings-French,Douglas Singh,kayla70@gmail.com,388-696-1230x7531,Hotel Chain
BP00204,Deleon-Parks,Natalie Bates,christopher97@martinez-fisher.net,612-165-8616x21407,Car Rental
BP00205,"Williams, Garcia and Lynch",Meagan Ward,courtneybarrett@drake.com,293-067-2227x482,Hotel Chain
BP00206,Anderson-Nunez,Stephanie Peters,harrisjose@garza.com,+1-713-262-9119x181,Car Rental
BP00207,Rush Ltd,Matthew Gomez,gallagherrachel@thomas.info,048.843.4271,Airline
BP00208,Vasquez-Miles,Nicole Holland,sandra95@clark-baker.info,(435)545-4642x00026,Hotel Chain
BP00209,Carey-Wright,Mr. Charles Wilkins,thunt@yahoo.com,(593)601-1315,Car Rental
BP00210,Williams-Ramirez,Jennifer Martinez,samuel15@golden.com,964.358.2916x7220,Car Rental
BP00211,Ruiz-Burgess,Marcus Anderson,trevorroberts@ross.net,001-620-847-6770,Car Rental
BP00212,Brooks PLC,Brittany Rivera,shawnmoore@terry.net,001-646-237-0854,Airline
BP00213,Parker Ltd,Laura Mills,gmitchell@gallagher-mcpherson.com,(691)123-2520,Car Rental
BP00214,"Erickson, Guerrero and Gaines",Dr. Eric King Jr.,johnsontaylor@ford.info,(096)293-5102,Car Rental
BP00215,Cunningham Ltd,Kenneth Barry,mjackson@hotmail.com,+1-628-556-7143x0073,Car Rental
BP00216,Chandler PLC,Todd Bonilla,robynwoodard@king-garrett.net,(210)580-4005,Hotel Chain
BP00217,Jones-Horton,Benjamin Price Jr.,pkaiser@hotmail.com,(716)825-5372,Hotel Chain
BP00218,"Velazquez, Hernandez and Brock",Timothy Reyes,brandon53@gmail.com,+1-149-018-8145,Airline
BP00219,Griffin-May,Wayne Ingram,carriemiller@yahoo.com,+1-268-947-7204x103,Airline
BP00220,Baldwin Inc,Kelly Taylor,justinmaldonado@ruiz.com,(228)248-1765x00793,Airline
BP00221,Ramsey-Rivera,Kimberly Morris,lmcmillan@gmail.com,001-351-405-8082x3072,Hotel Chain
BP00222,Baird-Collins,Anthony Ellis,carla66@whitehead.com,001-826-422-2275x660,Airline
BP00223,"White, Rasmussen and Yang",Rhonda Kim,butlerstephanie@mueller.net,483-685-2449x444,Car Rental
BP00224,Carter and Sons,Denise Scott,ltran@hurley.com,+1-098-817-4009x43651,Hotel Chain
BP00225,Cunningham-Gray,Mr. David Mayer,bryanwebster@schroeder.com,733.428.7837x8852,Car Rental
BP00226,Alvarez-Wagner,Scott Spencer,strongcarol@mejia.info,550.919.6115x4962,Hotel Chain
BP00227,Harrison-Cantu,Elizabeth Patel,brownmary@marshall-taylor.com,001-641-136-9190,Car Rental
BP00228,Moore LLC,Jonathan Cisneros,zcopeland@yahoo.com,060.779.8446x0083,Hotel Chain
BP00229,"Johnson, Herrera and Thomas",David Schwartz,yharris@campbell.com,001-123-466-8228x12138,Airline
BP00230,Wood Group,Anthony Ray,aroberts@long.com,5591560422,Airline
BP00231,"Mcgee, Duncan and Anderson",Thomas Patel,umann@carrillo.com,241.996.8697x78804,Airline
BP00232,"Pennington, Soto and Holt",Jessica Diaz,zstanley@hotmail.com,(409)795-2490x843,Hotel Chain
BP00233,Gibbs-Morrison,Michael Nichols,tara19@dixon-stewart.com,486-503-4385x8766,Airline
BP00234,Smith and Sons,Michael King,michael88@gmail.com,001-184-083-9025x5681,Airline
BP00235,Cooper and Sons,Emily Rogers,barbara12@gmail.com,(853)251-4707x0996,Hotel Chain
BP00236,Shaw Group,Jamie Perez,robertschmidt@arnold-fowler.info,225-504-9400x3952,Airline
BP00237,"Bruce, Medina and Burnett",Elizabeth Howell,joseph90@hall.com,(016)292-1768x13329,Airline
BP00238,Dunn-Young,Danielle Nunez,ronaldfrederick@hotmail.com,001-324-162-7769x957,Hotel Chain
BP00239,Fields-Russell,Dylan Green,bendervalerie@hotmail.com,+1-761-416-3541x1205,Hotel Chain
BP00240,"Reed, Bailey and Turner",Nicholas Johnson,ataylor@berry.com,492.901.4220x9948,Airline
BP00241,Smith Group,Julie Thompson,clarkstacey@harrell.com,893-312-7266x9336,Hotel Chain
BP00242,"Lindsey, Buchanan and Walters",Kimberly Wilkinson,brian86@johnson.com,(238)828-5689,Car Rental
BP00243,"Rollins, Walker and Pitts",Rebekah Bond,monique56@yahoo.com,748.163.2242,Car Rental
BP00244,Cooper-Crawford,Mrs. Breanna Taylor,evelyn16@hotmail.com,215.102.1399,Hotel Chain
BP00245,Castro-Davis,Evan Lambert,jamesharding@gmail.com,152-298-2856x19479,Airline
BP00246,Johnson LLC,Nicole Smith,andrewmorales@baker-wolf.com,+1-837-044-3393x084,Car Rental
BP00247,Brown-Mejia,Catherine Franklin,medinabenjamin@warren.com,(708)739-8399x48894,Airline
BP00248,"Simon, Conley and Lee",Mr. Jose Smith MD,erichards@gmail.com,492-571-4250,Airline
BP00249,Christian Inc,Stephanie Waller,rosskelly@yahoo.com,001-590-960-4573x889,Car Rental
BP00250,"Dominguez, Watson and Dickerson",James Wood,jenniferthompson@hotmail.com,001-649-178-6414x415,Airline
BP00251,"Mcclain, Reynolds and Mitchell",Kelly Dunn,wyattveronica@gmail.com,001-316-578-8648,Car Rental
BP00252,Allen-Salazar,Dakota Lynch,tinakim@reynolds-evans.net,+1-705-817-0824x30985,Airline
BP00253,"Perkins, Diaz and Baxter",James Williams,johnny28@lopez.net,001-586-227-6588,Hotel Chain
BP00254,"Hodge, Fields and Gray",Karl Avery,mckenzie69@young-rice.net,521-997-0820x9035,Car Rental
BP00255,Jones and Sons,Michelle Rios,william17@hotmail.com,+1-109-971-9968,Hotel Chain
BP00256,"Vargas, Nguyen and Garcia",Timothy Vaughn,lfoster@gmail.com,(560)418-3338x0498,Airline
BP00257,Wright-Evans,Brent Hoffman,williambradley@carpenter.biz,(015)619-0152,Airline
BP00258,Logan-Perez,Whitney Neal,omays@gmail.com,021.597.0268,Airline
BP00259,Smith-Burton,Troy Solis,katrinasanders@taylor-kelly.com,657.668.3650x6031,Airline
BP00260,"Richardson, Gibbs and Shaw",Jessica Clarke,linda39@costa.com,947.095.6102x4468,Hotel Chain
BP00261,"Cook, Lee and Garcia",Brian Wilson,robert10@gmail.com,+1-928-547-0664x32422,Car Rental
BP00262,"Ward, Rivera and Pruitt",Barbara Goodwin,jeffreycole@carter-torres.com,(601)474-9125x144,Hotel Chain
BP00263,"Shaw, Williams and Cruz",Adam Woods,ebuchanan@hotmail.com,4973112406,Hotel Chain
BP00264,"Martinez, Mccall and Blackwell",Melanie Bradley,lpalmer@yahoo.com,001-908-985-6793,Airline
BP00265,Stephens Ltd,Collin Wilson,jonathan59@yahoo.com,4226926680,Hotel Chain
BP00266,"Herman, Rodriguez and Scott",Tyler Hughes,stevenwilliams@johnson.org,(107)351-8039,Hotel Chain
